word,freq
argentina,1154
cut,1154
paga,1154
afirmam,1153
mérito,1153
edinho,1152
limites,1151
tortura,1151
idade,1150
miguel,1150
repasse,1150
vítimas,1149
criada,1147
crianças,1147
etapa,1147
silêncio,1147
comunidade,1146
veículos,1146
teto,1145
composição,1144
lobão,1144
partidários,1144
lançamento,1143
mário,1143
arruda,1142
informa,1142
discussões,1141
moral,1138
conflito,1137
ex-tesoureiro,1137
querer,1137
tratado,1137
desejo,1136
gabriel,1135
interlocutores,1135
mensagens,1133
aprovou,1132
retorno,1132
comercial,1131
perto,1131
prerrogativa,1130
edson,1129
destino,1128
usada,1128
daquele,1127
vigor,1127
atuais,1126
diário,1126
eventuais,1126
transformar,1125
desafios,1124
dever,1124
nesses,1124
permanência,1124
faça,1123
fachin,1123
membro,1122
britto,1121
preventiva,1121
combater,1119
judiciais,1119
empresarial,1117
evitou,1117
presidenciável,1117
relatou,1115
termo,1115
rumo,1114
avançar,1113
acompanhado,1112
bairro,1112
picciani,1112
interpretação,1111
procurou,1111
estudos,1110
inicialmente,1110
lógica,1110
marcado,1110
cidadania,1109
basta,1108
extremamente,1108
pessoalmente,1108
cassado,1107
